::ffff:127.0.0.1 - - [26/Mar/2023:19:43:04 +0000] "GET /api/contact HTTP/1.1" 200 377 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::1 - - [26/Mar/2023:19:52:20 +0000] "GET /api/orders/income HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [26/Mar/2023:19:52:20 +0000] "GET /api/users/?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [26/Mar/2023:19:52:20 +0000] "GET /api/orders?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [26/Mar/2023:19:52:20 +0000] "GET /api/users/stats HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Mar/2023:19:52:48 +0000] "GET /api/orders/income HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:52:48 +0000] "GET /api/users/?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:52:48 +0000] "GET /api/users/stats HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:52:48 +0000] "GET /api/orders?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:20 +0000] "GET /api/users/ HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:21 +0000] "GET /api/orders/income HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:21 +0000] "GET /api/users/?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:21 +0000] "GET /api/orders?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:21 +0000] "GET /api/users/stats HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:22 +0000] "GET /api/users/ HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:28 +0000] "GET /api/products HTTP/1.1" 200 5173 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:46 +0000] "GET /api/orders/income?pid=64205fd44f293dab25085506 HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:53:49 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:54:12 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::1 - - [26/Mar/2023:19:54:12 +0000] "GET /api/orders/income HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [26/Mar/2023:19:54:12 +0000] "GET /api/users/?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [26/Mar/2023:19:54:12 +0000] "GET /api/users/stats HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::1 - - [26/Mar/2023:19:54:12 +0000] "GET /api/orders?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [26/Mar/2023:19:59:42 +0000] "GET /api/products HTTP/1.1" 200 2 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:59:53 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:19:59:59 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:00:00 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:15 +0000] "GET /api/products HTTP/1.1" 200 5173 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:25 +0000] "GET /api/users/ HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:27 +0000] "GET /api/orders/income HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:27 +0000] "GET /api/users/?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:27 +0000] "GET /api/orders?new=true HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:27 +0000] "GET /api/users/stats HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:36 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:45 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:04:55 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:05:09 +0000] "GET /api/products HTTP/1.1" 304 - "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:05:23 +0000] "GET /api/users/ HTTP/1.1" 403 21 "http://localhost:3001/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
::ffff:127.0.0.1 - - [26/Mar/2023:20:09:58 +0000] "GET /api/products HTTP/1.1" 200 5173 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0"
